No;Title;Year;Genre;Origin;Director;Star;IMDB link
209;Rang De Basanti;2009;Drama;USA;Lasse Hallström;Richard Gere;https://www.imdb.com/title/tt1028532
210;Amores perros;2015;Drama;USA;Tom McCarthy;Mark Ruffalo;https://www.imdb.com/title/tt1895587
211;The Princess Bride;2017;Drama;USA;James Mangold;Hugh Jackman;https://www.imdb.com/title/tt3315342
212;Catch Me If You Can;2006;Drama;India;Rakeysh Omprakash Mehra;Aamir Khan;https://www.imdb.com/title/tt0405508
213;Kaze no tani no Naushika;2000;Drama;Mexico;Alejandro G. Iñárritu;Emilio Echevarría;https://www.imdb.com/title/tt0245712
214;Harry Potter and the Deathly Hallows: Part 2;1987;Romance;USA;Rob Reiner;Cary Elwes;https://www.imdb.com/title/tt0093779
215;Butch Cassidy and the Sundance Kid;2002;Drama;Canada;Steven Spielberg;Leonardo DiCaprio;https://www.imdb.com/title/tt0264464
216;Rocky;1984;Adventure;Japan;Hayao Miyazaki;Sumi Shimamoto;https://www.imdb.com/title/tt0087544
217;Barry Lyndon;2011;Drama;USA;David Yates;Daniel Radcliffe;https://www.imdb.com/title/tt1201607
218;Monsters, Inc.;1969;Western;USA;George Roy Hill;Paul Newma;https://www.imdb.com/title/tt0064115
219;The Grapes of Wrath;1976;Drama;USA;John G. Avildsen;Sylvester Stallone;https://www.imdb.com/title/tt0075148
220;The Maltese Falcon;1975;War;USA;Stanley Kubrick;Ryan O'Neal;https://www.imdb.com/title/tt0072684
221;Dead Poets Society;2001;Comedy;USA;Pete Docter;Billy Crystal;https://www.imdb.com/title/tt0198781
222;Donnie Darko;1940;Drama;USA;John Ford;Henry Fonda;https://www.imdb.com/title/tt0032551
223;The Terminator;1941;Mystery;USA;John Huston;Humphrey Bogart;https://www.imdb.com/title/tt0033870
224;Gandhi;1989;Drama;USA;Peter Weir;Robin Williams;https://www.imdb.com/title/tt0097165
225;Les diaboliques;2001;Drama;USA;Richard Kelly;Jake Gyllenhaal;https://www.imdb.com/title/tt0246578
226;La haine;1984;Action;USA;James Cameron;Arnold Schwarzenegger;https://www.imdb.com/title/tt0088247
227;Groundhog Day;1982;Drama;India;Richard Attenborough;Ben Kingsley;https://www.imdb.com/title/tt0083987
228;The Wizard of Oz;1955;Thriller;France;Henri-Georges Clouzot;Simone Signoret;https://www.imdb.com/title/tt0046911
229;Jaws;1995;Drama;France;Mathieu Kassovitz;Vincent Cassel;https://www.imdb.com/title/tt0113247
230;Le notti di Cabiria;1993;Comedy;USA;Harold Ramis;Bill Murray;https://www.imdb.com/title/tt0107048
231;The Help;1939;Fantasy;USA;Victor Fleming;Judy Garland;https://www.imdb.com/title/tt0032138
232;Faa yeung nin wa;1975;Drama;USA;Steven Spielberg;Roy Scheider;https://www.imdb.com/title/tt0073195
233;Mandariinid;1957;Drama;Italy;Federico Fellini;Giulietta Masina;https://www.imdb.com/title/tt0050783
234;Before Sunset;2011;Drama;India;Tate Taylor;Viola Davis;https://www.imdb.com/title/tt1454029
235;Paper Moon;2000;Romance;Hong Kong;Kar-Wai Wong;Tony Leung Chiu-wai,;https://www.imdb.com/title/tt0118694
236;Ah-ga-ssi;2013;Drama;Georgia;Zaza Urushadze;Lembit Ulfsak;https://www.imdb.com/title/tt2991224
237;Paris, Texas;2004;Romance;USA;Richard Linklater;Ethan Hawke;https://www.imdb.com/title/tt0381681
238;The Best Years of Our Lives;1973;Drama;USA;Peter Bogdanovich;Ryan O'Neal;https://www.imdb.com/title/tt0070510
239;Tenkû no shiro Rapyuta;2016;Romance;South Korea;Chan-wook Park;Kim Min-hee;https://www.imdb.com/title/tt4016934
240;Pirates of the Caribbean: The Curse of the Black Pearl;1984;Drama;West Germany;Wim Wenders;Harry Dean Stanton;https://www.imdb.com/title/tt0087884
241;Blade Runner 2049;1946;Romance;USA;William Wyler;Myrna Loy;https://www.imdb.com/title/tt0036868
242;La La Land;1986;Drama;Japan;Hayao Miyazaki;Mayumi Tanaka;https://www.imdb.com/title/tt0092067
